commentID,commentBody,recommendationCount,commentSequence,Personal,Relevance,Criticality,Writing Quality,Thread,Unexpected
48618,"What possible public policy objective could there be for this information?  To decide how much more some can take from others?  Should some bureaucratic body decide how much owners should take relative to their investment in time and treasure?<br/>I think your premise that large companies dominate the economy is somewhat flawed.  I believe most people work for small companies.  Small by federal standards, which would seem large to most people.  ",1,11016155,0.2429,0.2143,0.1714,0.1286,0.1714,0.1286
43424,"Perhaps I did not make the point clearly. A small-business owner's ""salary"" does not exist in real terms. It is all profit and loss. And the profit has to go toward many things beyond the amount of money the owner takes out. If a company gets big enough, a modest profit of 4 percent could easily be more than the 25 times multiple, but the owner probably can't take most of that money out without strangling the business. In fact, the owner has to pay taxes on that money even if it is all left in the company. And yes, I am offended by the suggestion that I would gouge employees for my own benefit if I were able to get profitability to where it should be to maintain a healthy company. It is simple. Some employers gouge employees regardless of whether they are profitable, not profitable, or something in between. It has nothing to do with a 25 times multiple. I agree that greed exists, but in my experience it is not as common in small businesses as in big businesses. Most of us are on the front lines everyday with our employees. How many small businesses do you see that force their employees to work on Thanksgiving? I am FULLY aware of the fact that my success is possible only because of my employees. That is why I have a bonus program, when profits are enough to justify it. Thanks for the input.   ",7,11009554,0.2199,0.1411,0.1701,0.0747,0.0996,0.0747
46133,Refreshing to hear the truth.  Annual reviews are a waste of time exactly as you have listed.  I am very interested in hearing your performance coaching--to see if it aligns with what I have been saying (ever so quietly and cautiously) for a very long time.  ,0,11012973,0.1522,0.1304,0.2609,0.1739,0.0652,0.0652
55160,"Keep it to one page with two topics: What's going well and Where can you improve. It's all about the conversation. And let the employee go first - they know more about their performance issues than you do, and most can be honest about this if there's an atmosphere of trust",0,11024932,0.1538,0.1538,0.2115,0.1346,0.0385,0.0385
173392,"I'm just going to give my opinion as a consumer here. I think most people expect large, expensive, shipped/freight items to have some kind of shipping. But most consumers don't order items like this often enough to have any sense of that price. So if you get an initial sense of the price thinking it is in your budget, but then have some huge shipping fee attached, that might be the amount that puts you over.<br/><br/>Example: I ordered Amish furniture from several states away. I knew we could afford the listed prices, but had no idea that shipping would cost an extra $250. It wasn't in the budget. So I had to cancel the order and wait a few months.<br/><br/>I would encourage an up-front notice on your site about the typical cost of shipping to various areas of the country. You are a numbers and metrics person - something like: ""Historically, shipping to the West of Mississippi area costs $X-$Y. It doesn't mean your rate will be in this range, but it will give you an idea for planning purposes."" That way, people can call when they have the budget. I value businesses that give me information.<br/><br/>Also, I think there is a branding issue. You do quality customized work. I don't typically associate that kind of thing with FREE STUFF!",2,11165407,0.2522,0.187,0.2043,0.113,0.0826,0.0696
153057,"Paul,<br/>We have a small company that ships about 70% of our revenue out of state using LTL, UPS and FedEx freight options. We add on freight for the same reasons, it's never free. It's also correct that providing exact freight charges online is extremely difficult without overcharging for freight so we error on the lower side. Congress may lose their courage, if they ever had any, and give in to Amazon by enacting internet sales taxes. If they do, charging freight separately will lower the cost to our customers because tax will be charged on a lower base price. We're currently struggling with building a freight model that will provide more accurate freight charges, including LTL, based on breaking even on freight. However, customer perception is always a lingering thought.   ",1,11140869,0.3008,0.218,0.1955,0.1353,0.0827,0.0752
155676,"Paul,<br/><br/>You raise a great topic.  We work with big-ticket furniture and are wrestling with some of the same dynamics. <br/><br/>Here is a different approach.  Don't think about delivery as free vs. paid. Rather consider cost basis, flat-rate and/or fixed price.  As an internet business, do you want to be location specific or not? Your customers donâ€™t care where you are located, they just want the merchandise. If you want to operate as an internet business and be broadly available in the US market, you might consider going with flat rate delivery priced against your average delivery cost from your market. Predictable, easy to understand, flat rate. <br/><br/>A more sophisticated follow-up step would be to test the flat rate price.  And to consider both your own costs and the perceived market value at different price points.  <br/><br/>Best of luck,<br/>Bob Howland<br/>Blueport Commerce",2,11144148,0.3046,0.1921,0.1788,0.106,0.1589,0.1192
159960,"So the current charges include both a shipping fee (to cover the transportation costs) and an installation fee (to cover setup)?  In this case, advertising ""free shipping!"" will just annoy your customers -- they will hear it as ""I'm getting an all-in-one price,"" and then will get angry when they see a large installation fee.<br/><br/>I think you'd be better off advertising the special care you take to make sure your tables are shipped and installed correctly and safely.  I recall an earlier post about your efforts to satisfy a customer over some scratches that it turned out the customer's own coffee mugs called.  I guarantee that is *not* the kind of service your ""free shipping"" competitors provide.<br/><br/>So play to your strengths, not theirs.  I guarantee you that someone paying $20K-$30K for a conference table is most concerned that the table be as high-quality as he thinks it is.  So use your shipping services to reinforce your commitment to the highest quality.  Sell the ""white-glove"" treatment you provide -- add a section to your website explaining how your carefully prepare/wrap the materials, use LTL (vs. throwing it on the back of a UPS truck), manage the install, ensure no damage, etc.  That kind of approach underscores the quality of the product you make, so play it up, turn what you think of as a weakness into another selling point. ",5,11149367,0.2445,0.1834,0.2052,0.1354,0.0742,0.0655
153036,"It gets even sillier with things like cars - the ""destination fee"" is variable and mandatory, but never included in the price.<br/><br/>Rather than ""free shipping"" I prefer a phrase like ""All costs included.""  You can always offer a discount for someone who prefers to pay their own shipping; its not as if you close many deals without talking to someone, right?<br/><br/>Nobody likes surprises.  Even at the same total price, being able to budget everything as a known cost ahead of time would make it easier for many other companies to do business with you.  That's worth something.  <br/><br/>Since you're already itemizing it out, its more of a ""surprise"" - and while its very different from, say, staining to you, its exactly the same to your customers (one of the many things that cost money that's needed to go from an idea to a finished, installed table) and you don't itemize out the other items, right, even if they're ""negotiated"" as far as simple/fancy/etc?  From the POV of your customers, I think that including it just makes sense.",3,11141832,0.2099,0.1602,0.1713,0.1105,0.1215,0.0884
172347,"Hukkster - To quote you guys, ""You can actually test Adwords in a small way and scale from that point""!<br/><br/>My thinking is you probably went with head terms i.e. ""on-line shopping"" ""coupon codes"" on broad match type and your costs quickly spiralled out of control without corresponding returns?!<br/><br/>Refine your targets - track, monitor - get an expert [me? :)]<br/><br/>Skylight Group - â€œAnd you canâ€™t set your AdWords for â€˜people who really want to spend a ton of money,â€™â€ù You can do this Skylight group! Get an expert to change your life :) Even within your campaign you can pre-qualify traffic using your ad content!<br/><br/>In my opinion, the greatest challenge for small businesses and agencies is - agencies want to ensure prospects bring commercially sensible business in and small businesses have margin issues - keep costs down!",1,11164211,0.3869,0.292,0.1533,0.1314,0.0803,0.0511
171189,"This is an interesting debate.  I own and run my own small business, The Bed and Breakfast Club <a href=""http://www.thebedandbreakfastclub.co.uk"" title=""www.thebedandbreakfastclub.co.uk"" target=""_blank"">www.thebedandbreakfastclub.co.uk</a> <br/><br/>I am now happy to say that we are using Adwords successfully.  I can't say ""cheaply"" but our cost per conversion is reducing as time moves one.  <br/><br/>Our market, the accommodation industry, is expensive in keyword terms.  CPC is high and in the first 3 months of our Adwords campaign we did waste money in the wrong area, particularly with our location targeting.  We offer B&amp;B (homestay) accommodation in hand-picked private homes in London to tourists/business travellers- so potentially the world is our customer!  <br/><br/>Now that we are more familiar with Adwords and how it works, it is our main marketing too.<br/><br/>What I would like to add to this discussion is the fact that Google has a team of analysts on call to help you fine-tune your campaigns.  You can call as often as you need to and their input is invaluable.  I don't think small businesses need to add to the cost of marketing by involving an consultant for their Adwords campaign.  <br/><br/>We understand our businesses and Google understand Adwords.  Give them a call.  ",1,11162804,0.298,0.2071,0.1919,0.1162,0.0909,0.0758
186151,"How does Waffle House, or any other restaurant, operate for more than a day or so in horrible winter weather without deliveries of fresh food and supplies?<br/><br/>We've seen the pictures of miles of stranded cars and trucks in bad winter weather.  Does a Waffle House restaurant really keep several days worth of fresh food around?  Is any of their food fresh?  How do the food service supply truck drivers make their deliveries through the snow, ice and traffic?  Does each location have a generator?<br/><br/>I appreciate 'can do,' I want to know 'how do they do it?'",10,11180058,0.3465,0.2277,0.1683,0.099,0.1089,0.0792
192270,"Cliff wrote an excellent treatise but neglected to include an all important fact that would silence those 100% rightly arguing against staying open: Waffle House is known to be ALWAYS OPEN. Therefore when you work there you sign into that just so even when a disaster hits you can walk and get a hot meal. The fact FEMA uses Waffle House as a barometer shows that Cliff is right for whatever company you work for: Apple ''insanely great"" so computers are obsolete before break (great warranty), etc. How about UPS  the package gets through - now that would have been cool to see  UPS trucks with snow plows on them doing everybody a service and still getting mail through LOL! etc.  SO the idea Cliff has is right as he sat there eating at Waffle House, but,  yes everybody else is right about staying home. I have a 4x4 SUV and make a snowman and put on roof rack and go out but with black ice I do not go out unless to help people.  Many northern people laugh at us in Atlanta but they must not get black ice up there like we do here. Anyway - once you have a mission statement it is as Cliff I think is trying to say ""Damn the torpedoes"" I hate people working on Sondays and would rather drive to waffle House through snow than enable the greedy workaholic USA that maybe some company leaders are falling prey. ",0,11186716,0.2449,0.1755,0.2122,0.1265,0.0735,0.0571
186696,"To answer the question of the blog author...<br/><br/>Gov &amp; Biz in ATL (and other areas that need to adjust to the new weather) need to come up with a Disaster Preparedness Plan.<br/><br/>I'm an IT consultant &amp; trainer and one of the services my firm provides is DP/R evaluation; although this is primarily for IT services (and the supporting hardware) one of the first thing we ask is for is for the org to define what is essential to the business, then who is essential to get that done... then after analyzing what potential disasters that can happen, we get creative on how to get the essential work done by the essential people as safely as possible.<br/><br/>Obviously, the executive staff at WaHo have thought this out and determined that 'they' would be 'food service of last resort' op and gotten by-in from middle management and line staff.<br/><br/>Excelling during 'freak' weather like this is not an accident, it took planning and preparation by ALL hands.  Those staff (and management) that participated deserve honor and respect for a job well done.<br/>[for those who do not think it would be safe to work in conditions like this - don't work for orgs with missions like theirs - and yes WaHo has a clearly defined mission/vision]<br/><br/>-David S.",1,11180588,0.2675,0.2061,0.1798,0.0877,0.0877,0.057
184509,"A few years ago on a road trip somewhere down south. Pulled off the interstate for some food. Waffle House was not our first choice. Our first choice was open but unable to serve anyone due to a black out, which was unapparent to us in the middle of the day. The Waffle House next door to our first choice was somehow open and serving customers. Heating coffee on the gas fired flat top. The staff cheerfully greeted us, told us what they were still able to cook up, took our orders with a smile and prepared our food. ",21,11178481,0.266,0.2128,0.1383,0.0851,0.1489,0.117
184443,"Waffle House is in many ways the epitome of how to manage customer relations successfully.  I recall a time going to a nearby WH on a Sunday morning, and the place was packed to the rafters with people.  I edged inside and stood there cramped (as if in an elevator), but after a few moments and no one leaving, I gave up and started to leave.<br/><br/>Blocking my way -- nicely -- was the WH manager, a young guy in his 20's.  ""No need to leave; a place will open up soon, and grab yourself a cup of coffee on the house,"" he said.  It was clear in his voice that I would somehow be offending him, his short-order cooks and wait staff if I dared leave.  So I lingered and, sure enough, within five minutes, I had a desired seat at the counter.<br/><br/>Most places these days, if you stay or leave no one seems to give a hoot.  Not at Waffle House. It's a restaurant where the employees actually want to serve you.  How refreshing is that?",54,11178363,0.2402,0.1899,0.1955,0.1397,0.0559,0.0503
184733,"Hey, it's great that it worked out for Waffle House. Hooray for team spirit! But there's no shame -- no lack of team spirit -- in taking the advice of experts and closing down early or even pre-emptively. If you've ever spent 4 to 8 hours trying to crawl home on the highway in bad weather, you know what an absolute misery it is. If you've ever tried to get to work under those circumstances, with the threat of disciplinary action if you don't make it on time, then you've really experienced misery. Add in the stress and frustration of trying to arrange emergency child care during a snow or ice storm when schools are closed but the boss says you've got to be at work. That's the kind of stuff that eats away at team spirit, even if employees aren't willing to let it show at work.",75,11178756,0.2452,0.2065,0.2065,0.1161,0.0387,0.0387
184501,"This restaurant made its employees go to work under dangerous conditions to fulfill a nonessential function, making a a profit for the owners. The supposedly uplifting,  American perseverance aspect of this story is false. I imagine most of the workers were unhappy at having to commute, even with the assistance of friendly co-workers. All were afraid of losing their jobs.",77,11178446,0.2414,0.2414,0.1897,0.1379,0.1552,0.1552
185151,"Do the cheerleaders for Waffle House assume every 'business' stocks tons of food?<br/><br/>Clearly, this chest-thumping column was aimed merely at Waffle House's unnamed competitors, who chose as their highest value human life over corporate culture.",5,11179087,0.3947,0.3421,0.1316,0.1316,0.1579,0.1579
185156,"We were snowed in (3 Feet) during the March 2008 blizzard in Columbus, OH. Waffle House was the only restaurant within walking distance of our hotel. While it might not have been my first choice in nicer weather, traversing the parking lots on foot was the only option for us. Since Waffle House is often strategically located near roadside hotels across the country, it is actually a needed service during snow emergencies.",13,11179002,0.3429,0.2857,0.1571,0.0857,0.0714,0.0571
185226,"From what I have read in the past, Waffle House, nationwide, has a history and business image to open in storms to serve the public. They say that you can tell how bad a disaster is by how long it takes for the local Waffle House to be up and running. They plan this way so that they can provide food to people in the area during a disaster.  Best research this a bit more before writing about it.",8,11179295,0.2278,0.1899,0.1772,0.1519,0.0633,0.0633
185857,"Waffle House lawyers heard about this scheme and literally keeled over. They essentially created a company-run taxi service in what was, for a city like Atlanta, the equivalent of a powerful hurricane. If someone had died, the firm would have had enormous liability issues.<br/><br/>Reality is lots of people can pretty easily work from home on days like that. Those who can't, like Waffle House staff, probably face dramatically reduced demand. However, given that the staff is essentially free to Waffle House ($2.13 minimum wage for wait staff), it makes sense for them to stay open.<br/><br/>Don't pretend this was a team-building exercise. It was profit motivated by a high fixed cost business--even though I see it as poorly thought out.",40,11179902,0.2812,0.2266,0.1797,0.1328,0.0859,0.0781
200906,"I took a class to help women entrepreneurs learn how to start a business. Paying oneself at all was the issue that relates to prudence. The worry was that if we charged enough to allow us to pay ourselves, no one would buy our services or products and we wouldn't be able to stay in business, let alone grow. So, prudence was part of it.<br/><br/>When we did the unit on expenses and setting prices, something else came out. Behind the prudence was lifelong training by our families, friends and general culture that we aren't worth it. An underlying attitude that we will fail unless we put the business ahead of everything, including our own survival needs and even then, we probably won't make it. Women are devalued, so we tend to devalue ourselves and lack confidence in our abilities.<br/><br/>If that is to change, our whole culture has to change. The way we talk about women and girls. The way we raise them. The way we portray them in our stories, movies, and especially advertising. If we portray women as successful and worthy, maybe our little girls will grow up believing they are as deserving of success as boys are. Instead of ""may the best man win"", maybe we'll finally have ""may the best person win"".",0,11197179,0.2156,0.1606,0.2156,0.1422,0.0642,0.055
206485,"I am a retailer of women's fashions. We've built our brand to be a destination store with very unique merchandise at a variety of price points. We use Quick Books POS and Quick Books Financial and we have an accountant. However, we wanted weekly data to show us what's actually happening. We created a dashboard, analogous to a car dashboard. The odometer tracks transactions per week. The speedometer tracks dollars per transaction. The battery gauge tracks dollar sales per square foot. And the fuel gauge tracks cash flow: weekly gross profit minus operating expenses. I get some of these numbers every day, but all I really need is to track weekly activity, and ultimately month-over-month. A big benefit is that my employees help do the tracking and learn to appreciate how they can help grow the trends with better customer service and cost controls.  ",2,11203824,0.3379,0.3034,0.1793,0.1103,0.069,0.0552
236878,"This is a quote from the report:  ""Other factors affecting rates such as changes in product design, provider networks, or competition are not considered. In addition, other provisions of the ACA, including the coverage expansions, the extension of dependent coverage to age 26, the individual mandate, and the employer mandate will impact the availability of coverage, the take-up of that coverage, and the premium rates charged to those who currently have employer-sponsored insurance, but those impacts are not included in this estimate.""<br/><br/>If you exclude the range of premium choices in the dizzying array of plans offered by the multiple insurance companies in the market, and all of the other listed factors affecting plan choice,  then you are ignoring reality.  Also, the report makes no mention of the structure of age/premium spreads that I found in my earlier reporting.  The average age of workers in a company, and the particular plan chosen, have a much higher impact on premiums than any other factor.  It appears that the authors of this report relied on predictions made several years ago, and restricted their assumptions to the point that their conclusions are meaningless.  We now have available a huge number of actual premiums offered by insurers - why not do an analysis of those?  And maybe check and see what small business owners actually signed up for?  Making a huge fuss based on some sketchy theoretical assumptions seems premature.  The reality will be the true test.",2,11232075,0.3029,0.2158,0.1369,0.0871,0.1162,0.0996
254527,"Skype and associated communication tools have AMAZING potential in the global market. The costs to consumers of English-language tutoring and classes in countries like South Korea, Taiwan, China, are not insubstantial and can be undercut by ""outsourcing"" English-language teaching or practice to America, England, South Africa, Australiaâ€_<br/><br/>Learning the apps and knowing the customer can be closely tied. With South Korea, for instance, Internet Explorer 6 is still in heavy use, Samsung smartphones are much more common than iPhones, and Kakao Talk is the ""WhatsApp"" for Korea and the Korean diaspora.<br/><br/>Greenberg has solid ideas with Skype and it is heartening that he and his company have made a successful go at it.",0,11252273,0.3707,0.3276,0.1638,0.0862,0.1034,0.0862
270214,It is strange to hear that developers and/or outsourcing employees in India did not speak or understand English because almost all educated people in India speak English.  Many small to large American companies have outsourcing offices in India.  For them English is not an issue at all as Rebekha mentioned in her article.,11,11272219,0.2692,0.1923,0.2308,0.1731,0.0962,0.0962
279639,"Hi there,<br/>It wasn't my intention to suggest that all Indian developers don't speak good English.  I was just saying that the team I was working with didn't speak English well so I found it difficult to communicate with them.  Yes, initially I tried to get work done as cheaply as possible. But I learnt that all team members need to be high quality, motivated and respected for a project to be successful.  This learning was the point of the piece.<br/>Rebekah",0,11283252,0.186,0.1628,0.2674,0.1744,0.0698,0.0698
355742,"Huge empathy for this, and it's deeply helpful for all the least happy reasons. After two years of an awesome launch of our business in 06 and 07, the broader economy beat us up thoroughly beginning at the middle of 08. We tried relaunching in 2010 and just burned money doing so. But in January of 2013, we took our business - selling 24K/year memberships to big companies for a suite of information and advisory services, seen by many as nice-to-have but not essential - back to the marketplace and the relaunch worked. Most of 2013 was fantastic, and we're on a new, pretty-well-balanced keel. Except for December. And January. And February. We have a longish sales cycle, so maybe things are just taking longer to close, but net business is off the great pace of most of last year. March should be a rebound month - like Paul's business, we have a sales funnel that's pretty full; other signs of disaster from lingering memory are absent - but we just won't know till we close, or fail to close, some new sales. I bet the weather hurt us too, but there seems to be some mojo in all this beyond analytical grasp. Two good months, and it'll take discipline to remember. . .",0,11362483,0.1934,0.1557,0.1604,0.0991,0.1274,0.1179
354064,"I wish I could be helpful, but I'm only commenting to say this is a gem of a phrase. ""My capacity for error is large and well honed by years of practice."" I always enjoy your contributions to the blog.<br/><br/>My own line of work deals with Afghanistan, and most of the problems there seem to stem from political uncertainty around the security agreement and the April presidential elections. I'm going to guess this is not relevant for you...",2,11360130,0.2375,0.2375,0.1875,0.125,0.1,0.1
354051,"We are in Philadelphia too and have seen a similar ""slow start"" to March, which is typically when our spring season really kicks into action. We have many projects in design but signatures on contracts are coming a little slower than we would like. <br/><br/>We do attribute the slow down this year to the unusually extreme winter. Buyers do not feel urgent about renovating when they are dealing with horrible winter weather. <br/><br/>All the other businesses I speak with about it, and I talk to everyone about it, express similar frustration with March. <br/><br/>I think Paul has a solution in hand already. In the same way he can charge a premium for rush orders during busy times, he could do the opposite now and offer an incentive to buyers who sign while snow is still on the ground. It could be free shipping, a special upgrade, or some small percentage off the cost of their order. <br/><br/>The other thing is to make sure the sales team is aware of the problem and completely focused on solving it in the next 2 - 3 weeks. It could be some weak links will be exposed in the process. And this might lead to a staffing adjustment. <br/><br/>Good luck!<br/>Diane Menke<br/>Myers Constructs Inc.<br/><a href=""http://myersconstructs.com"" title=""myersconstructs.com"" target=""_blank"">myersconstructs.com</a>  ",5,11356751,0.2723,0.2232,0.1652,0.1071,0.125,0.0982
401033,"This is a wonderful story, and I am very happy for Anthony.  Hats off to Mariano's, also, for taking a chance on him.  So many employers are not willing.  It takes a personal connection, as the on-line ""interview"" portion of an application often screens out our adult autistic children from the get-go.  My son does not use a computer and cannot answer questions such as ""how would you react if....""  The irony is that often autistic workers are very productive, don't get bored, don't waste time, are not excessively sick, and are not distracted by typical conversations, e.g., March Madness, the Oscars.",0,11417865,0.2115,0.2115,0.1923,0.1058,0.125,0.1154
372630,"The Varsity is serving a retro food product at a fairly high price in a modern consumer market. They produce old-fashioned sandwiches, hot dogs and burgers but poor-quality fried foods that are not in keeping with todayâ€™s (or my) tastes. The fried foods could be improved with a bit of care and tweaking while changing the other items would be suicide to the business.<br/><br/>There is no promotional pricing. A combo costs the sum of the items. In the mobile suburbs this means they arenâ€™t price competitive except to the aging market that looks on this food as nostalgia. It amazes me how gray the customers are, especially in the suburban locations. I notice that the Krystal, a large southern chain of about the same age as the Varsity has a similarly aging clientele but serves their 1930â€™s era foods alongside with newer updated offerings along with promotional pricing to keep younger people in the stores.<br/><br/>The Varsity could expand but it would mean making some innovative changes that seem to be anathema to the ownership. A local competitor, Chick-fil-A was able to make the jump to a major national expansion but was serving a product that only dated from the 60â€™s when chicken processing made breast fillets available economically. And in the south, fried or grilled chicken has not gone out of date with younger consumers while the Varsityâ€™s offerings remain mired in 1929, an era with little concern about food sourcing. Expansion means adjusting to today's tastes.",2,11383564,0.2724,0.1907,0.1595,0.0934,0.1167,0.1012
368102,"I had a Varsity naked walking dog at their Atlanta airport location. The hotdog is just boring.  There is nothing special about it.   I bet you based on your own experience that the food is just not great.  You said yourself the FO at the other place was not the same. I am sure it was the same but  not getting the whole Varsity experience changed the taste for you.  As someone who owns a 300 seat restaurant, believe me, the experience that goes along with the food and how the food looks is a huge part of making people happy.  Give someone a tough piece of top round beef on a sandwich and they will give it back.  Have a guy carving it at a carving station and they will form a line to get it.",0,11378892,0.2222,0.1778,0.1926,0.1185,0.1037,0.0963
379530,"Please note that per the correction that has been issued,  Skylight Group ALWAYS pays our interns.  I apologize for the confusion, but we are well aware of the law and we also value the contributions that interns bring to our organization well beyond that.<br/><br/>Thank you.<br/><br/>Jennifer Blumin, NYC",3,11391877,0.3137,0.2745,0.1961,0.1765,0.0588,0.0392
