Comment Body,Display Name,Latitude,Location,Longitude,Status,User Comments,User ID,userID (userscores.csv),Approve Date,Article Relevance,AV Gcommentspermonth,AVG Brevity,AVG Personal XP,AVG Picks,AVG Readability,AVG Recommendation Score,Brevity,Comment Sequence,Conversational Relevance,Editors Selection,Number of Records,Personal XP,Readability,Recommendation Count,Recommendation Score,Times People
"Those stats can be circular. For example, if 5 innocent blacks in the area of a shooting are arrested but no whites near a white shooting are, you get a bloated black arrestee rate.  Your \""4% of shooters \"" should be \""4% of shooter suspects.\""  <br/><br/>Wasn\'t there a white NYPD detective (Italian surnamed) who received an award for a very high rate of solving crimes who was discovered several years ago to have falsified a lot of evidence and/or forced false confessions from suspects?  Weren\'t most of those wrongfully convicted by his fake evidence black?  <br/><br/>Justice projects in many states have found faked evidence or false testimony that has wrongfully convicted innocent people, mostly black and Hispanic men.  ",Honolulu,21.304547,honolulu,-157.855676,approved,api.nytimes.com/svc/community/v2/comments/user/id/20316895.xml,20316895,20316895,"1,423,839,799",0.087563889,15.04,43.05851064,0.023898599,0,15.80957447,4.324468085,120,"14,124,905",0.265183041,0,1,0,28.6,3,1.098612289,1
"I was \'a love child\' and I haven\'t killed anyone lately.  But, then again, cops don\'t pull guns on me for no reason except I\'m reaching for my wallet.  When I walk down the streets I don\'t have car alarms beeping nervously shut.  I think not having married parents is not half as rough as no one having any money and learning to hustle and hold drugs on the street for the older kids because you won\'t get charged as an adult.  But, if I had not married an African American woman and had a son with her, would I be thinking as seriously and as objectively about such matters?  I\'d probably be generalizing along with the bulk of our society.  We have a really tangled ball of confusion on this one, that is for certain.",Carl Hu,21.304547,Honolulu,-157.855676,approved,api.nytimes.com/svc/community/v2/comments/user/id/62375296.xml,62375296,62375296,"1,423,771,123",0.023936526,0.166666667,81.42857143,0.040422835,0.142857143,20.92857143,30.85714286,142,"14,119,139",0.104883608,1,1,0.104895105,26.2,105,4.65396035,1
"\""It\'s hard to hate up close\"". That says it all and more engagement with the community is what is needed.",Jay Nair,22.351115,India,78.667743,approved,api.nytimes.com/svc/community/v2/comments/user/id/32002024.xml,32002024,32002024,"1,423,770,335",0.060461574,0.355263158,112.1851852,0.017166167,0.037037037,24.68518519,15.07407407,21,"14,119,047",0.139110476,0,1,0,8.3,7,1.945910149,1
Racial bias and hate are the same thing to victim. No need to parse it.,Rich H,24.021519,Phila,32.889036,approved,api.nytimes.com/svc/community/v2/comments/user/id/34131159.xml,34131159,34131159,"1,423,768,278",0.039365519,0.586206897,46.90196078,0.022798963,0.019607843,16.44901961,13.49019608,15,"14,118,892",0.091349443,0,1,0,10.1,7,1.945910149,1
"Comey has raised the issue in present terms but from an historical perspective white mobs and the authorities have been killing innocent black people with relative impunity since the beginning of American slavery.  The entire system has been stacked against blacks for so long that today\'s murders by police have become by default, acceptable.  The police blame the victims, essentially for being black, which is exactly what Comey just did.   Police who kill unarmed people are frightened and should not be police men.  They are afraid when confronted on the job and most of the time the danger isn\'t real it\'s simply in their own mind.   Being a cop in a gun cornucopia country like America, simply amplify s  their paranoia.   Thanks to the NRA and Congress, America is now a very dangerous place for the police it\'s citizens, and particularly, young black men.",Figaro,25.935688,Marco Island,-81.694897,approved,api.nytimes.com/svc/community/v2/comments/user/id/56571438.xml,56571438,56571438,"1,423,773,716",0.212303366,10,95.22727273,0.024942233,0.031168831,23.25246753,13.19350649,148,"14,119,932",0.505331594,0,1,0,29.2,9,2.197224577,1
"African American crime is so disproportionate compared to other races, the heuristics officers fall back are in line with the chance of threat. Here in Cincinnati, there is an newly remodeled area, over the rhine, which at one point was one of the most dangerous areas in the country. Now there are half-million dollar condos; a few blocks up, a stark contrast exists: depravity, crime and high African American demographics. <br/><br/>One can see both worlds within 6 blocks of each other. It is affluent, young white couples next to those who have nothing.  I don\'t quite grab my wallet, or open-carry (legal in Ohio) but a group of young black men do make me a bit nervous, so I only carry cash and my driver\'s license. I walked out of a nice restaurant only to be greeted by a group rapping about their \"".35s and drug trade.\"" Get real. Any demograph will be categorized negatively if this is how you portray yourself in public.<br/><br/>Free areas like remodeled parks are used by everyone in the area. If a cop gets a call in the area, the black man will be looked at first. Is this wrong? I don\'t think so. However, roughing anyone up and getting aggressive isn\'t the answer, either.",Scott,27.344215,Cincy,-80.391439,approved,api.nytimes.com/svc/community/v2/comments/user/id/69151106.xml,69151106,69151106,"1,423,772,674",0.088999398,8.6,116.4883721,0.033427086,0.104651163,24.45232558,13.43023256,217,"14,119,369",0.205594986,0,1,0.031674208,32.4,9,2.197224577,1
"Racial, ethnic, religious bias is obviously a cultural fact that is at the root of many of our social problem. In the case of police activities, the problem is beyond race; it seems that many law enforcement officers cannot tolerate to have their authority questioned. They want immediate submission to their orders. There have been many reported instances of an officer brutalizing or killing a white person who seemed to \""resist arrest\"" or made a \""threatened move\"". The reaction to Ferguson would have much the same if the young man had been white or latino or hindu.",paul mathieu,27.718086,"sun city center, fla.",-82.351759,approved,api.nytimes.com/svc/community/v2/comments/user/id/59309121.xml,59309121,59309121,"1,423,847,147",0.249242368,4.650793651,138.7098976,0.026067568,0.044368601,29.11296928,12.80546075,97,"14,126,590",0.319702942,0,1,0.010309278,23.6,2,0.693147181,1
"The real problem is still being ignored.  Yes there were problems when most police were white, especially in the south.  That is not the way of  today.  There are police of every color and religion.  The problem in the inner cities are Gangs, and the break down of the family.  The government has aided big time in the break down of the family first by rewarding young women who had illegitimate children with an apartment and money as long as they didn\'t reside or marry the father of the child.  This incentive exploded in the 70s and we are still feeling the angst that has come along with so many broken families.  Then you have illegal immigration that has added fuel to that system and encouraged the \""gang\"" culture in the cities. There are gangs of every color in the cities, but very few families.    Until we treat each other with respect and can stop using politically correct words and speak the truth, it will be hard to fix.  Schools need to teach morals again.( i.e.Little League team)  There are laws and rules and if you don\'t follow them society breaks down. That is why marriage is important.  That is why treating people the way you want or expect to be treated is important. We are responsible for what we become, only us. We have been divided by government instead of united by freedom. People are the same everywhere.  We should help our neighbors through our churches or just on our own and not expect the government to do it.  ",joannie175,27.756767,florida,-81.463984,approved,api.nytimes.com/svc/community/v2/comments/user/id/56458590.xml,56458590,56458590,"1,423,840,224",0.087195683,3.59375,140.1086957,0.028106344,0.008695652,26.52130435,2.67826087,264,"14,125,603",0.228727219,0,1,0.049242424,38.4,2,0.693147181,1
"@Artemis Platz Your comments are right on point. All people (black, white, Asian, Hispanic etc) discriminate because it is a biological adaptation for your protection to fear the \""other\"". But with training on the part of the police and community outreac",aussiebat,27.756767,Florida,-81.463984,approved,api.nytimes.com/svc/community/v2/comments/user/id/30277668.xml,30277668,30277668,"1,423,773,350",0.115360327,4.328947368,87.81155015,0.030971548,0.024316109,22.07051672,10.30091185,41,"14,119,557",0.361029723,0,1,0,15.2,3,1.098612289,1
"I am not really sure how people are so uninformed that the fact of our inherent tendency for bias is \""unsettling.\"" Bias is at the very core of our humanity and our conscious navigation of the world.<br/><br/>I applaud Mr. Comey for speaking out about how we have to account for these biases by procedure, training, and personal effort. I do object to the equating of racial bias with \""hate.\"" Prejudice and hate are not at all the same things, even in the case of negative prejudice.",Jon,27.756767,Florida,-81.463984,approved,api.nytimes.com/svc/community/v2/comments/user/id/57802593.xml,57802593,57802593,"1,423,764,975",0.066461032,11.45454545,118.3988095,0.029132637,0.03968254,26.11666667,7.426587302,87,"14,118,274",0.061592778,0,1,0.078651685,20.7,5,1.609437912,1
"Now is the time for Mr. Comey, Mr. de Blasio, Mr. Holder, and others to continue to speak out, to refuse to be silenced.  At this point there has been so much awareness of this situation on the part of black people, so little on the part of white people, and such a complete absence of honest dialogue that there isn\'t any way to begin this conversation without someone coming straight out of their hair == especially white conservatives who just want to shut down the entire conversation because as far as they\'re concerned, if they don\'t experience it, it can\'t possibly matter to anyone.",Katherine Bailey,27.756767,Florida,-81.463984,approved,api.nytimes.com/svc/community/v2/comments/user/id/68623930.xml,68623930,68623930,"1,423,772,612",0.163163331,2.769230769,70.30555556,0.029062984,0.027777778,19.7,9.277777778,108,"14,119,041",0.230458915,0,1,0,27.5,1,0,1
"If you compare the number of violent crimes in NYC to the number of black folks in NYC, it\'s clear that the criminals represent a really tiny fraction of the black folks in NYC.  The vast majority of black folks aren\'t violent and they don\'t deserve to be treated like they are or have it assumed that they are.",Laura,27.756767,Florida,-81.463984,approved,api.nytimes.com/svc/community/v2/comments/user/id/13327168.xml,13327168,13327168,"1,423,765,265",0.059221087,39.93023256,53.84566104,0.032924034,0.008153757,16.29161328,5.145602796,62,"14,118,500",0.112820224,0,1,0,18.2,109,4.691347882,1
"This sounds right to me. I was in Memphis when the OJ trial happened.  More than one white person told me that they were appalled at what they perceived to be the attitude from some black folks, that they were happy that the black guy got by with something, and had to deliberately think about their black friends to keep from sliding into racism.  If you don\'t have black friends, what do you do?  Of course, the same kind of thing could be true of black folks who don\'t have white friends and nothing to counter bad stereotypes they might be prone to as to how awful we are.",Laura,27.756767,Florida,-81.463984,approved,api.nytimes.com/svc/community/v2/comments/user/id/13327168.xml,13327168,13327168,"1,423,765,331",0.089860179,39.93023256,53.84566104,0.032924034,0.008153757,16.29161328,5.145602796,111,"14,118,540",0.19885624,0,1,0.063063063,23.6,5,1.609437912,1
"Actually, when you look at the most recent FBI violent crimes statistics,  you will see that black people are ARRESTED for about 32% of violent crimes. That\'s stull is far too high proportionately speaking, but that\'s far from \""well over half.\"" I looked pretty closely, and the FBI doesn\'t maintain data on who actually COMMITS those crimes, because there really is no way to know.<br/><br/>Overstating your case doesn\'t make it true.<br/><br/>The Director\'s point remains valid - your day-in-day-out experience with a group will set your expectations about that group. What is telling is that police don\'t automatically transfer their feelings/perceptions about white criminals to white people as a group in the same way as the Director stated happens for black people.<br/><br/>In the eyes of many, a white criminal is just a criminal, whereas a black criminal is often a stand-in for all black people.<br/><br/>And THAT\'S what has to change.",Brian,27.94776,"Tampa, FL",-82.458444,approved,api.nytimes.com/svc/community/v2/comments/user/id/1516833.xml,1516833,1516833,"1,423,773,864",0.16095729,0.214285714,123.6666667,0.0187491,0.083333333,28.03333333,18.41666667,164,"14,120,342",0.437412146,0,1,0.005813953,33.8,0,0,1
"True.  The problem is \""the disproportionate crime committed by person of color.\""  That is the problem and how we tackle that problem is the solution. It is a two way street, both sides are at fault.  Police in the United States unlike the rest Western Europe, Canada, Japan, New Zealand and Australia face an armed society.  Their first reaction when encountering aggressive behavior is to apply force.  On the other side is a society that is marginalized (voluntary/involuntary) who believe acting aggressive makes you a \""man.\"" Personally when I am pulled over, I put both hands out the window of my car and I do not make any sudden movements.  It is what it is.   ",John Zotto,28.388172,"Cape Canaveral, Florida",-80.603266,approved,api.nytimes.com/svc/community/v2/comments/user/id/49667260.xml,49667260,49667260,"1,423,772,680",0.052931149,4.53030303,63.71237458,0.03508504,0.033444816,18.79364548,10.57525084,116,"14,119,375",0.198635947,0,1,0.043103448,26.9,3,1.098612289,1
"Your comments are right on target. If our leaders helped educate the public, especially our young people of all colors and races, about the importance of Comply and Complain most of the tragedies that have recently been criticized as so-called police brutality would not have occurred. Police officers put their lives on the line daily and most operate with the public welfare as their primary concern. In a tense, potentially life-threatening confrontation they have to make split-second decisions to protect both themselves and the public. Everyone needs to be aware of that and Comply and Complain. That way everyone is working together FOR the public welfare.",Anna W.,28.923595,"Nursery, Texas",-97.098599,approved,api.nytimes.com/svc/community/v2/comments/user/id/10445795.xml,10445795,10445795,"1,423,845,686",0.132516376,0,109,0.018348624,0,25,0,109,"14,126,157",0.232916869,0,1,0.018348624,25,0,0,1
"Blacks and whites in many deep South communities lived next door to one another many segregated towns. So hate not only can exist in close up living between races but hate or mild prejudice is not the problem of white police bias against blacks. The problem of white police racism Comey addresses is that for innocent blacks the instinctive bias too often triggers the officers\' gun in civilian deaths. No educational program will correct or control a bias so deeply ingrained that most people, whether Rudolph Giuliani or police union head James Lynch, reject.Black police power or local black community control over the community  police hiring and firing is the one and only solution. Anything else like Comey\'s well- meaning opinions offer no immediately practical prescription.",Bayou Houms,29.59577,"Houma, Louisiana",-90.719535,approved,api.nytimes.com/svc/community/v2/comments/user/id/69262930.xml,69262930,69262930,"1,423,839,798",0.211287047,22.2,127.6081081,0.019565957,0.022522523,29.25315315,5.716216216,128,"14,124,742",0.542625416,0,1,0,28.6,1,0,1
"One way to increase local police interactions with their communities is to hire more policemen from their communities, as well as hire more local community prosecutors, court officers, probation staff, and judges from their communities. That Ferguson, Mo., had a 95 percent white law enforcement personnel in a community that was 70 percent black reflected an unjust racial legacy of a racially discriminatory society. And we now see in Ferguson the source of the lingering bias. It was the legislative contortions by whites in both parties defanging the 1960s Civil Rights Bills. It was compromises to pass bills outlawing white privileged status in using the general tax base from all races for white benefit. And that meant the structural bias in public employment could be manipulated in criteria to reflect skewed racial hiring of white police without specifying the race of the applicants. One glaring way to do that was to select applicants based on certification alone from institutions in white majority communities, and to permit hiring of white applicants to the police force from those training institutions in white communities. None of the Civil Rights Bills prohibited all white police enforcement of majority black communities; it was business as usual for the past two centuries. But reforming that racist legacy is long overdue.",Bayou Houms,29.59577,"Houma, Louisiana",-90.719535,approved,api.nytimes.com/svc/community/v2/comments/user/id/69262930.xml,69262930,69262930,"1,423,783,830",0.227887551,22.2,127.6081081,0.019565957,0.022522523,29.25315315,5.716216216,214,"14,121,709",0.399204044,0,1,0.004672897,40.8,3,1.098612289,1
"I think that one of the main problems that affects many police officers is the cynicism that they develop from the job.  And another thing is that this doesn\'t just affect one race (though it may be more pronounced for one if the only people they arrest or interact with are of one race), but towards all people in general. I think that a great way to counter this would be for police departments to arrange programs where they schedule each officer to spend a day doing some sort of community service instead of there usual patrol (and pay them normally while they do it). Maybe have it so each officer spends one day every two weeks or so working at a soup kitchen, or working with middle and high school students to build something their school or neighborhood needs, or maybe teaching a free/low price self defense class, or coaching a team at a YMCA or Boys and Girls club. Something that keeps them in contact with the people they serve to help remind them that the true nature of their job isn\'t to stop criminals, but to protect and help the people. It would probably also help them deal with the stress they face from their normal routine.",JSS,29.651907,Gainesville,-82.324798,approved,api.nytimes.com/svc/community/v2/comments/user/id/69635590.xml,69635590,69635590,"1,423,847,625",0.152202467,0,213,0.009478673,0,32.9,2,213,"14,127,757",0.302933923,0,1,0.009389671,32.9,2,0.693147181,1
"I\'m greatly impressed by Director Comey\'s speech: intelligence, insight, complexity, good will. Gives me hope.",Jay U,29.795763,"Thibodaux, La",-90.822871,approved,api.nytimes.com/svc/community/v2/comments/user/id/63512222.xml,63512222,63512222,"1,423,768,305",0.070242026,0.5,17,0.066666667,0,10.43333333,24.66666667,17,"14,118,808",0.082193838,0,1,0.117647059,12.9,15,2.708050201,1
"I find it amazing that how a message is received depends heavily on who delivers  that message.  For example, I Eric Holder would have given the same exact speech, he would have been scorned as a race baiter or something worse. Furthermore, Fox News would have had a field day.  ",Kevin D,29.951919,"Houston, TX",-95.540914,approved,api.nytimes.com/svc/community/v2/comments/user/id/71270740.xml,71270740,71270740,"1,423,847,148",0.064903029,0,23,0.073727629,0,10.95555556,1.888888889,50,"14,126,880",0.051911464,0,1,0.04,19,6,1.791759469,1
I guess we\'ll cross that bridge when we get there.,Kevin D,29.951919,"Houston, TX",-95.540914,approved,api.nytimes.com/svc/community/v2/comments/user/id/71270740.xml,71270740,71270740,"1,423,847,147",0,0,23,0.073727629,0,10.95555556,1.888888889,11,"14,126,758",0.019689472,0,1,0.272727273,6,0,0,1
I think you are correct.,Kevin D,29.951919,"Houston, TX",-95.540914,approved,api.nytimes.com/svc/community/v2/comments/user/id/71270740.xml,71270740,71270740,"1,423,849,802",0,0,23,0.073727629,0,10.95555556,1.888888889,5,"14,129,726",0.031757446,0,1,0.2,6,0,0,1
"Jeff,  Don\'t be stupid.<br/>That was not a strong arm robbery. I was simple theft as the clerk tried to stop him from taking the cigars.  ",Kevin D,29.951919,"Houston, TX",-95.540914,approved,api.nytimes.com/svc/community/v2/comments/user/id/71270740.xml,71270740,71270740,"1,423,849,805",0.00441701,0,23,0.073727629,0,10.95555556,1.888888889,27,"14,129,777",0.025548367,0,1,0.035714286,14.1,0,0,1
"Jeff,  Look at the FBI crime stats for the US.  After you look at the crime states and compair the crimes that whites and blacks commit, come back here and let us know.  That garbage you wrote above was base on your opinion.",Kevin D,29.951919,"Houston, TX",-95.540914,approved,api.nytimes.com/svc/community/v2/comments/user/id/71270740.xml,71270740,71270740,"1,423,864,009",0.055743063,0,23,0.073727629,0,10.95555556,1.888888889,43,"14,131,933",0.293726439,0,1,0.046511628,15.2,1,0,1
Nope!,Kevin D,29.951919,"Houston, TX",-95.540914,approved,api.nytimes.com/svc/community/v2/comments/user/id/71270740.xml,71270740,71270740,"1,423,849,797",0,0,23,0.073727629,0,10.95555556,1.888888889,1,"14,129,618",0,0,1,0,1.8,2,0.693147181,1
"Northstar5,<br/>You have presented a perfect example of an argument presented by a person with racist views.  A KKK member couldn\'t have said it better.",Kevin D,29.951919,"Houston, TX",-95.540914,approved,api.nytimes.com/svc/community/v2/comments/user/id/71270740.xml,71270740,71270740,"1,423,863,992",0.083881399,0,23,0.073727629,0,10.95555556,1.888888889,26,"14,131,827",0.057345072,0,1,0,14.1,8,2.079441542,1
"Theresa,<br/>What do your speech pattern and demeanor have to do with you being law abiding or not?",Kevin D,29.951919,"Houston, TX",-95.540914,approved,api.nytimes.com/svc/community/v2/comments/user/id/71270740.xml,71270740,71270740,"1,423,849,800",0.043542815,0,23,0.073727629,0,10.95555556,1.888888889,18,"14,129,690",0.034780284,0,1,0,8.3,0,0,1
"Threasa, You don\'t know what direction-perception or opinions are. I only asked you a question about speech pattern and demeanor.  Can answer the question?",Kevin D,29.951919,"Houston, TX",-95.540914,approved,api.nytimes.com/svc/community/v2/comments/user/id/71270740.xml,71270740,71270740,"1,423,864,003",0.020194135,0,23,0.073727629,0,10.95555556,1.888888889,26,"14,131,891",0.043579298,0,1,0.038461538,14.1,0,0,1
"Wow. I can\'t believe this is seriously a story in the Times. Yes, we are all humans, we get that. However, there are rules and laws that need to be followed in order to conduct a safe and functioning society. Empathy is important but the statement that the police need to\"" get to know those whom they protect\"" is basically saying that the police are not in touch with humanity; that they are different from other people. I do not believe this to be true at all. Anyone can break the law regardless of race, age or finance. That statement alone creates a seperation between police and civilians which encourages them to de-humanize those whom they \""bring to justice\"" under their superiority.  This is just a mental precedent for police militarization under the guise of democracy.",Cosmickitty,30.271129,Austin,-97.7437,approved,api.nytimes.com/svc/community/v2/comments/user/id/70011941.xml,70011941,70011941,"1,423,839,798",0.174748432,0,138,0.02919708,0,27.5,3,138,"14,124,855",0.324936785,0,1,0.028985507,27.5,3,1.098612289,1
"Availability heuristic ==&gt; Confirmation Bias ==&gt; Open hostility ==&gt; Action<br/>I think Director Comey\'s candor is impressive, but we all know where the problem really lies.  Do police forces HIRE people predisposed to racial animus, then train them to further refine it?  Are they aware of the chain of behavioral events listed above and then further exploit that chain?  I think they do, in some places.  Top managers in the Police Department believe that is what key segments of their communities want and expect.",Brian P,30.271129,"Austin, TX",-97.7437,approved,api.nytimes.com/svc/community/v2/comments/user/id/63490497.xml,63490497,63490497,"1,423,765,134",0.105628612,3.488372093,99.84,0.025787341,0.066666667,23.26133333,13.12666667,81,"14,118,391",0.244251824,0,1,0.034883721,22.9,12,2.48490665,1
