Class,Age,Sex,Survived,id,Port,AgeInNumbers
First,Adult,Male,Yes,47,Cherbourg,70.3960439
First,Adult,Male,Yes,48,Belfast,99.85322361
First,Adult,Male,Yes,49,Southhampton,46.48226918
First,Adult,Male,Yes,50,Cherbourg,78.97698668
First,Adult,Male,Yes,51,Cherbourg,82.79798342
First,Adult,Male,Yes,52,Belfast,87.8690827
First,Adult,Male,Yes,53,Queenstown,24.20238522
First,Adult,Male,Yes,54,Cherbourg,93.24624755
First,Adult,Male,Yes,55,Cherbourg,87.88106438
First,Adult,Male,Yes,56,Belfast,82.46987374
First,Adult,Male,No,57,Cherbourg,80.02710522
First,Adult,Male,No,58,Southhampton,41.88979075
First,Adult,Male,No,59,Queenstown,34.07533896
First,Adult,Male,No,60,Southhampton,52.06506382
First,Adult,Male,No,61,Southhampton,52.25062862
First,Adult,Male,No,62,Southhampton,58.25395459
First,Adult,Male,No,63,Southhampton,44.00873077
First,Adult,Male,No,64,Queenstown,31.01406586
First,Adult,Male,No,65,Southhampton,58.46725244
First,Adult,Male,No,66,Belfast,68.03216924
First,Adult,Male,No,67,Queenstown,33.14372899
First,Adult,Male,No,68,Queenstown,19.45411125
First,Adult,Male,No,69,Southhampton,48.77933861
First,Adult,Male,No,70,Queenstown,33.26181146
First,Adult,Male,No,71,Southhampton,43.9175965
First,Adult,Male,No,72,Cherbourg,94.55964226
First,Adult,Male,No,73,Southhampton,37.09180269
First,Adult,Male,No,74,Southhampton,52.71728974
First,Adult,Male,No,75,Belfast,83.00022573
First,Adult,Male,No,76,Belfast,82.48207684
First,Adult,Male,No,77,Southhampton,58.35586005
First,Adult,Male,No,78,Southhampton,51.67002453
First,Adult,Male,No,79,Southhampton,42.89842975
First,Adult,Male,No,80,Southhampton,50.91972243
First,Adult,Male,No,81,Southhampton,57.34164308
First,Adult,Male,No,82,Southhampton,46.21857847
First,Adult,Male,No,83,Southhampton,57.26117178
First,Adult,Male,No,84,Southhampton,50.90883785
First,Adult,Male,No,85,Southhampton,50.6641121
First,Adult,Male,No,86,Southhampton,37.68602009
First,Adult,Male,No,87,Southhampton,60.56301474
First,Adult,Male,No,88,Cherbourg,76.4299336
First,Adult,Male,No,89,Queenstown,33.10896881
First,Adult,Male,No,90,Southhampton,47.66515985
First,Adult,Male,No,91,Southhampton,59.95289721
First,Adult,Male,No,92,Queenstown,25.42898404
First,Adult,Male,No,93,Queenstown,28.02831711
First,Adult,Male,No,94,Southhampton,44.72256228
First,Adult,Male,No,95,Southhampton,57.9785164
First,Adult,Male,No,96,Queenstown,31.14850808
First,Adult,Male,No,97,Southhampton,60.75429849
First,Adult,Male,No,98,Southhampton,25.07144769
First,Adult,Male,No,99,Belfast,79.57948068
First,Adult,Male,No,100,Southhampton,43.07942911
First,Adult,Male,No,101,Belfast,92.38868295
First,Adult,Male,No,102,Queenstown,35.72970572
First,Adult,Male,No,103,Southhampton,30.88548377
First,Adult,Male,No,104,Queenstown,32.04784242
First,Adult,Male,No,105,Southhampton,54.12660123
First,Adult,Male,No,106,Southhampton,52.02404246
First,Adult,Male,No,107,Queenstown,27.08829462
First,Adult,Male,No,108,Southhampton,50.8017343
First,Adult,Male,No,109,Southhampton,66.59815841
First,Adult,Male,No,110,Southhampton,58.36919762
First,Adult,Male,No,111,Southhampton,41.58924612
First,Adult,Male,No,112,Southhampton,44.35102068
First,Adult,Male,No,113,Southhampton,58.67654278
First,Adult,Male,No,114,Southhampton,69.76727429
First,Adult,Male,No,115,Southhampton,48.84461538
First,Adult,Male,No,116,Southhampton,44.15138544
First,Adult,Male,No,117,Southhampton,54.19748229
First,Adult,Male,No,118,Southhampton,48.94625926
First,Adult,Male,No,119,Southhampton,50.74144281
First,Adult,Male,No,120,Southhampton,53.86672317
First,Adult,Male,No,121,Belfast,77.78054118
First,Adult,Male,No,122,Southhampton,46.27504752
First,Adult,Male,No,123,Queenstown,23.81577052
First,Adult,Male,No,124,Southhampton,43.65864382
First,Adult,Male,No,125,Southhampton,59.40211038
First,Adult,Male,No,126,Southhampton,37.02815599
First,Adult,Male,No,127,Cherbourg,79.69699938
First,Adult,Male,No,128,Queenstown,23.55604599
First,Adult,Male,No,129,Queenstown,36.80830667
First,Adult,Male,No,130,Southhampton,48.84235023
First,Adult,Male,No,131,Queenstown,26.12887203
First,Adult,Male,No,132,Belfast,88.63239371
First,Adult,Male,No,133,Southhampton,52.54969646
First,Adult,Male,No,134,Southhampton,51.6593459
First,Adult,Male,No,135,Southhampton,47.66705478
First,Adult,Male,No,136,Southhampton,50.03831487
First,Adult,Male,No,137,Southhampton,36.02510123
First,Adult,Male,No,138,Cherbourg,74.70056896
First,Adult,Male,No,139,Southhampton,40.5144013
First,Adult,Male,No,140,Queenstown,28.41799929
First,Adult,Male,No,141,Queenstown,32.09418667
First,Adult,Male,No,142,Southhampton,55.97500492
First,Adult,Male,No,143,Southhampton,72.46525523
First,Adult,Male,No,144,Southhampton,66.53623724
First,Adult,Male,No,145,Queenstown,27.16921108
First,Adult,Male,No,146,Southhampton,40.71664831
First,Adult,Male,No,147,Cherbourg,87.40354481
First,Adult,Male,No,148,Queenstown,29.14544361
First,Adult,Male,No,149,Queenstown,25.13330117
First,Adult,Male,No,150,Southhampton,66.79151834
First,Adult,Male,No,151,Southhampton,46.94733673
First,Adult,Male,No,152,Southhampton,52.0894644
First,Adult,Male,No,153,Belfast,75.03595781
First,Adult,Male,No,154,Southhampton,39.84144377
First,Adult,Male,No,155,Queenstown,29.96122103
First,Adult,Male,No,156,Southhampton,46.93992978
First,Adult,Male,No,157,Belfast,64.24506964
First,Adult,Male,No,158,Queenstown,31.21351691
First,Adult,Male,No,159,Southhampton,53.96219064
First,Adult,Male,No,160,Southhampton,52.07499101
First,Adult,Male,No,161,Southhampton,46.76521576
First,Adult,Male,No,162,Queenstown,26.17598532
First,Adult,Male,No,163,Southhampton,50.08073857
First,Adult,Male,No,164,Southhampton,56.57655092
First,Adult,Male,No,165,Belfast,90.9180311
First,Adult,Male,No,166,Southhampton,44.98789387
First,Adult,Male,No,167,Southhampton,64.77340634
First,Adult,Male,No,168,Southhampton,68.62325122
First,Adult,Male,No,169,Southhampton,41.86541452
First,Adult,Male,No,170,Cherbourg,73.69062994
First,Adult,Male,No,171,Southhampton,52.45129706
First,Adult,Male,No,172,Southhampton,68.84224522
First,Adult,Male,No,173,Cherbourg,83.31923692
First,Adult,Male,No,174,Queenstown,31.69090712
First,Adult,Female,Yes,175,Cherbourg,84.95256148
First,Adult,Female,Yes,176,Southhampton,37.55616042
First,Adult,Female,Yes,177,Belfast,70.87691052
First,Adult,Female,Yes,178,Southhampton,41.51335071
First,Adult,Female,Yes,179,Cherbourg,86.11508749
First,Adult,Female,Yes,180,Belfast,85.38689972
First,Adult,Female,Yes,181,Belfast,57.90236748
First,Adult,Female,Yes,182,Belfast,72.41520887
First,Adult,Female,Yes,183,Belfast,71.40490401
First,Adult,Female,Yes,184,Cherbourg,77.54240365
First,Adult,Female,Yes,185,Cherbourg,76.87222605
First,Adult,Female,Yes,186,Southhampton,48.26091896
First,Adult,Female,Yes,187,Southhampton,60.11665049
First,Adult,Female,Yes,188,Southhampton,58.03413114
First,Adult,Female,Yes,189,Belfast,84.57837381
First,Adult,Female,Yes,190,Belfast,65.082175
First,Adult,Female,Yes,191,Belfast,77.06618685
First,Adult,Female,Yes,192,Southhampton,50.27652662
First,Adult,Female,Yes,193,Cherbourg,59.07508383
First,Adult,Female,Yes,194,Southhampton,69.96311436
First,Adult,Female,Yes,195,Belfast,69.10598504
First,Adult,Female,Yes,196,Southhampton,53.97377336
First,Adult,Female,Yes,197,Belfast,89.83358959
First,Adult,Female,Yes,198,Cherbourg,75.96112094
First,Adult,Female,Yes,199,Belfast,66.81625971
First,Adult,Female,Yes,200,Cherbourg,95.15080764
First,Adult,Female,Yes,201,Cherbourg,73.46855402
First,Adult,Female,Yes,202,Cherbourg,80.91784562
First,Adult,Female,Yes,203,Belfast,101.9923172
First,Adult,Female,Yes,204,Belfast,67.72073677
First,Adult,Female,Yes,205,Belfast,66.18284813
First,Adult,Female,Yes,206,Belfast,71.76846183
First,Adult,Female,Yes,207,Belfast,94.98719563
First,Adult,Female,Yes,208,Belfast,84.85736862
First,Adult,Female,Yes,209,Belfast,79.94376434
First,Adult,Female,Yes,210,Southhampton,57.34527222
First,Adult,Female,Yes,211,Belfast,77.70300096
First,Adult,Female,Yes,212,Cherbourg,57.78001213
First,Adult,Female,Yes,213,Belfast,76.26237448
First,Adult,Female,Yes,214,Belfast,92.78816061
First,Adult,Female,Yes,215,Belfast,82.02521354
First,Adult,Female,Yes,216,Cherbourg,84.20099155
First,Adult,Female,Yes,217,Belfast,84.2098757
First,Adult,Female,Yes,218,Cherbourg,92.67941982
First,Adult,Female,Yes,219,Belfast,68.11080561
First,Adult,Female,Yes,220,Queenstown,26.98350153
First,Adult,Female,Yes,221,Cherbourg,81.31932444
First,Adult,Female,Yes,222,Belfast,66.5927873
First,Adult,Female,Yes,223,Cherbourg,82.2874519
First,Adult,Female,Yes,224,Belfast,69.78819838
First,Adult,Female,Yes,225,Queenstown,29.69753794
First,Adult,Female,Yes,226,Cherbourg,60.51553258
First,Adult,Female,Yes,227,Belfast,90.71287439
First,Adult,Female,Yes,228,Queenstown,25.85805888
First,Adult,Female,Yes,229,Belfast,62.97782862
First,Adult,Female,Yes,230,Cherbourg,79.98568415
First,Adult,Female,Yes,231,Southhampton,55.41725981
First,Adult,Female,Yes,232,Belfast,75.29555301
First,Adult,Female,Yes,233,Cherbourg,83.67441298
First,Adult,Female,Yes,234,Cherbourg,63.82334743
First,Adult,Female,Yes,235,Southhampton,50.57550263
First,Adult,Female,Yes,236,Cherbourg,92.62114856
First,Adult,Female,Yes,237,Cherbourg,102.9814539
First,Adult,Female,Yes,238,Cherbourg,93.53377461
First,Adult,Female,Yes,239,Cherbourg,81.63004809
First,Adult,Female,Yes,240,Cherbourg,85.97504625
First,Adult,Female,Yes,241,Cherbourg,89.72822439
First,Adult,Female,Yes,242,Queenstown,37.85270702
First,Adult,Female,Yes,243,Belfast,72.18209508
First,Adult,Female,Yes,244,Cherbourg,86.77338944
First,Adult,Female,Yes,245,Belfast,64.58158742
First,Adult,Female,Yes,246,Belfast,72.62076746
First,Adult,Female,Yes,247,Cherbourg,60.71107019
First,Adult,Female,Yes,248,Southhampton,48.3968621
First,Adult,Female,Yes,249,Cherbourg,67.66140662
First,Adult,Female,Yes,250,Belfast,84.99846185
First,Adult,Female,Yes,251,Southhampton,47.38015228
First,Adult,Female,Yes,252,Cherbourg,58.90288487
First,Adult,Female,Yes,253,Belfast,94.40774979
First,Adult,Female,Yes,254,Cherbourg,72.9231939
First,Adult,Female,Yes,255,Belfast,94.51752169
First,Adult,Female,Yes,256,Cherbourg,65.39031718
First,Adult,Female,Yes,257,Southhampton,54.66592448
First,Adult,Female,Yes,258,Belfast,89.13119203
First,Adult,Female,Yes,259,Belfast,67.75273365
First,Adult,Female,Yes,260,Belfast,80.73086362
First,Adult,Female,Yes,261,Belfast,82.01291637
First,Adult,Female,Yes,262,Cherbourg,99.08514631
First,Adult,Female,Yes,263,Belfast,92.58276604
First,Adult,Female,Yes,264,Belfast,86.3579822
First,Adult,Female,Yes,265,Cherbourg,70.00410628
First,Adult,Female,Yes,266,Belfast,80.50958594
First,Adult,Female,Yes,267,Cherbourg,83.64992967
First,Adult,Female,Yes,268,Belfast,74.11634892
First,Adult,Female,Yes,269,Cherbourg,75.47323399
First,Adult,Female,Yes,270,Cherbourg,80.62528748
First,Adult,Female,Yes,271,Cherbourg,87.21835282
First,Adult,Female,Yes,272,Belfast,63.32883107
First,Adult,Female,Yes,273,Cherbourg,85.13581752
First,Adult,Female,Yes,274,Belfast,78.26557254
First,Adult,Female,Yes,275,Cherbourg,74.85883707
First,Adult,Female,Yes,276,Cherbourg,63.50152755
First,Adult,Female,Yes,277,Belfast,56.71568716
First,Adult,Female,Yes,278,Cherbourg,91.33828618
First,Adult,Female,Yes,279,Southhampton,69.91694538
First,Adult,Female,Yes,280,Cherbourg,82.17031695
First,Adult,Female,Yes,281,Belfast,74.46124548
First,Adult,Female,Yes,282,Southhampton,53.70809807
First,Adult,Female,Yes,283,Cherbourg,74.70001346
First,Adult,Female,Yes,284,Belfast,91.76452341
First,Adult,Female,Yes,285,Cherbourg,73.60373689
First,Adult,Female,Yes,286,Southhampton,55.34663156
First,Adult,Female,Yes,287,Southhampton,41.81195866
First,Adult,Female,Yes,288,Belfast,86.91156616
First,Adult,Female,Yes,289,Cherbourg,64.83062886
First,Adult,Female,Yes,290,Southhampton,33.27167144
First,Adult,Female,Yes,291,Belfast,61.05961654
First,Adult,Female,Yes,292,Cherbourg,68.34464623
First,Adult,Female,Yes,293,Southhampton,42.56070518
First,Adult,Female,Yes,294,Belfast,94.5078437
First,Adult,Female,Yes,295,Cherbourg,72.44025613
First,Adult,Female,Yes,296,Cherbourg,104.163398
First,Adult,Female,Yes,297,Queenstown,21.08537102
First,Adult,Female,Yes,298,Cherbourg,107.3195123
First,Adult,Female,Yes,299,Belfast,76.33579019
First,Adult,Female,Yes,300,Belfast,83.8907307
First,Adult,Female,Yes,301,Belfast,79.79593016
First,Adult,Female,Yes,302,Southhampton,60.39340552
First,Adult,Female,Yes,303,Cherbourg,61.43649789
First,Adult,Female,Yes,304,Cherbourg,103.133024
First,Adult,Female,Yes,305,Belfast,75.13991485
First,Adult,Female,Yes,306,Southhampton,44.66076919
First,Adult,Female,Yes,307,Belfast,75.45620736
First,Adult,Female,Yes,308,Southhampton,56.07517001
First,Adult,Female,Yes,309,Belfast,84.51379657
First,Adult,Female,Yes,310,Cherbourg,94.333336
First,Adult,Female,Yes,311,Queenstown,36.38492885
First,Adult,Female,Yes,312,Southhampton,67.39082573
First,Adult,Female,Yes,313,Belfast,66.30786289
First,Adult,Female,Yes,314,Cherbourg,66.01378803
First,Adult,Female,No,315,Southhampton,43.20421472
First,Adult,Female,No,316,Southhampton,44.94756003
First,Adult,Female,No,317,Southhampton,50.85459826
First,Adult,Female,No,318,Queenstown,27.73860209
First,Child,Male,Yes,319,Belfast,75.91414753
First,Child,Male,Yes,320,Cherbourg,81.18643341
First,Child,Male,Yes,321,Southhampton,39.80914238
First,Child,Male,Yes,322,Belfast,94.86548441
First,Child,Male,Yes,323,Cherbourg,82.4189677
First,Child,Female,Yes,324,Cherbourg,82.14039408
Second,Adult,Male,Yes,325,Southhampton,75.39831351
Second,Adult,Male,Yes,326,Cherbourg,75.52554488
Second,Adult,Male,Yes,327,Southhampton,54.07354593
Second,Adult,Male,Yes,328,Belfast,84.63374302
Second,Adult,Male,Yes,329,Belfast,60.1578592
Second,Adult,Male,Yes,330,Belfast,85.37958102
Second,Adult,Male,Yes,331,Southhampton,42.44067398
Second,Adult,Male,Yes,332,Belfast,79.92448938
Second,Adult,Male,Yes,333,Cherbourg,78.00029065
Second,Adult,Male,Yes,334,Southhampton,44.54029072
Second,Adult,Male,Yes,335,Belfast,66.02416698
Second,Adult,Male,Yes,336,Southhampton,64.26915703
Second,Adult,Male,Yes,337,Cherbourg,63.9152736
Second,Adult,Male,Yes,338,Cherbourg,64.37005557
Second,Adult,Male,No,339,Cherbourg,80.40201149
Second,Adult,Male,No,340,Cherbourg,92.81548208
Second,Adult,Male,No,341,Queenstown,30.0298067
Second,Adult,Male,No,342,Southhampton,40.28443062
Second,Adult,Male,No,343,Southhampton,50.97259878
Second,Adult,Male,No,344,Queenstown,38.52802958
Second,Adult,Male,No,345,Belfast,76.45053006
Second,Adult,Male,No,346,Southhampton,44.66476306
Second,Adult,Male,No,347,Southhampton,48.82277262
Second,Adult,Male,No,348,Southhampton,44.30654595
Second,Adult,Male,No,349,Southhampton,55.20554714
Second,Adult,Male,No,350,Southhampton,40.08151652
Second,Adult,Male,No,351,Cherbourg,87.74628136
Second,Adult,Male,No,352,Belfast,72.61987354
Second,Adult,Male,No,353,Southhampton,48.4797701
Second,Adult,Male,No,354,Belfast,85.80873445
Second,Adult,Male,No,355,Cherbourg,68.89410388
Second,Adult,Male,No,356,Belfast,82.9153317
Second,Adult,Male,No,357,Southhampton,58.24394469
Second,Adult,Male,No,358,Belfast,85.43756657
Second,Adult,Male,No,359,Southhampton,64.19416084
Second,Adult,Male,No,360,Queenstown,31.05600384
Second,Adult,Male,No,361,Queenstown,23.35110107
Second,Adult,Male,No,362,Southhampton,54.84070252
Second,Adult,Male,No,363,Queenstown,25.55111738
Second,Adult,Male,No,364,Southhampton,74.23688415
Second,Adult,Male,No,365,Cherbourg,88.09336207
Second,Adult,Male,No,366,Southhampton,57.62650991
Second,Adult,Male,No,367,Southhampton,48.67624594
Second,Adult,Male,No,368,Queenstown,29.85595325
Second,Adult,Male,No,369,Cherbourg,86.21656875
Second,Adult,Male,No,370,Southhampton,20.82302957
Second,Adult,Male,No,371,Southhampton,59.75592012
Second,Adult,Male,No,372,Southhampton,57.26636235
Second,Adult,Male,No,373,Queenstown,29.36638643
Second,Adult,Male,No,374,Queenstown,36.27662439
Second,Adult,Male,No,375,Cherbourg,79.54109361
Second,Adult,Male,No,376,Queenstown,26.21679404
Second,Adult,Male,No,377,Queenstown,31.86947813
Second,Adult,Male,No,378,Queenstown,28.48633052
Second,Adult,Male,No,379,Southhampton,65.95495735
Second,Adult,Male,No,380,Southhampton,62.46134963
Second,Adult,Male,No,381,Queenstown,30.41287963
Second,Adult,Male,No,382,Queenstown,29.45888546
Second,Adult,Male,No,383,Queenstown,33.47248955
Second,Adult,Male,No,384,Cherbourg,72.04684552
Second,Adult,Male,No,385,Southhampton,48.87680157
Second,Adult,Male,No,386,Belfast,75.38093944
Second,Adult,Male,No,387,Southhampton,46.6364672
Second,Adult,Male,No,388,Cherbourg,89.45785824
Second,Adult,Male,No,389,Queenstown,29.08745674
Second,Adult,Male,No,390,Southhampton,46.56715219
Second,Adult,Male,No,391,Southhampton,50.32746614
Second,Adult,Male,No,392,Belfast,67.1915668
Second,Adult,Male,No,393,Cherbourg,70.30629247
Second,Adult,Male,No,394,Southhampton,54.2474976
Second,Adult,Male,No,395,Queenstown,32.59039868
Second,Adult,Male,No,396,Belfast,81.05799321
Second,Adult,Male,No,397,Southhampton,57.51247899
Second,Adult,Male,No,398,Belfast,97.268612
Second,Adult,Male,No,399,Queenstown,22.07327509
Second,Adult,Male,No,400,Southhampton,26.90528783
Second,Adult,Male,No,401,Southhampton,52.78255914
Second,Adult,Male,No,402,Southhampton,75.43158424
Second,Adult,Male,No,403,Belfast,82.01017127
Second,Adult,Male,No,404,Southhampton,58.46931378
Second,Adult,Male,No,405,Southhampton,50.52708559
Second,Adult,Male,No,406,Cherbourg,86.28018127
Second,Adult,Male,No,407,Southhampton,43.08153156
Second,Adult,Male,No,408,Belfast,88.41564482
Second,Adult,Male,No,409,Queenstown,33.34129676
Second,Adult,Male,No,410,Queenstown,29.22324374
Second,Adult,Male,No,411,Cherbourg,89.57027246
Second,Adult,Male,No,412,Southhampton,49.0633927
Second,Adult,Male,No,413,Southhampton,49.55990091
Second,Adult,Male,No,414,Belfast,67.5935193
Second,Adult,Male,No,415,Southhampton,63.56181285
Second,Adult,Male,No,416,Queenstown,28.74112803
Second,Adult,Male,No,417,Queenstown,32.77173648
Second,Adult,Male,No,418,Southhampton,41.42694674
Second,Adult,Male,No,419,Belfast,79.48595155
Second,Adult,Male,No,420,Southhampton,65.03242798
Second,Adult,Male,No,421,Southhampton,58.27297566
Second,Adult,Male,No,422,Southhampton,51.71489196
Second,Adult,Male,No,423,Cherbourg,76.63146794
Second,Adult,Male,No,424,Southhampton,64.6928142
Second,Adult,Male,No,425,Southhampton,34.76354703
Second,Adult,Male,No,426,Southhampton,63.30271748
Second,Adult,Male,No,427,Belfast,81.84381187
Second,Adult,Male,No,428,Southhampton,47.70740584
Second,Adult,Male,No,429,Southhampton,52.4233765
Second,Adult,Male,No,430,Southhampton,38.05244087
Second,Adult,Male,No,431,Southhampton,31.11335027
Second,Adult,Male,No,432,Southhampton,56.21563625
Second,Adult,Male,No,433,Southhampton,51.96128109
Second,Adult,Male,No,434,Queenstown,29.39380586
Second,Adult,Male,No,435,Southhampton,44.9402929
Second,Adult,Male,No,436,Queenstown,26.79799678
Second,Adult,Male,No,437,Queenstown,29.61956551
Second,Adult,Male,No,438,Belfast,58.73845285
Second,Adult,Male,No,439,Queenstown,40.70668269
Second,Adult,Male,No,440,Cherbourg,65.08473663
Second,Adult,Male,No,441,Queenstown,31.85253584
Second,Adult,Male,No,442,Queenstown,31.57664487
Second,Adult,Male,No,443,Queenstown,31.02970752
Second,Adult,Male,No,444,Southhampton,40.2846993
Second,Adult,Male,No,445,Southhampton,51.96794563
Second,Adult,Male,No,446,Cherbourg,64.70171247
Second,Adult,Male,No,447,Cherbourg,62.17469467
Second,Adult,Male,No,448,Queenstown,23.27395264
Second,Adult,Male,No,449,Queenstown,34.62147008
Second,Adult,Male,No,450,Queenstown,29.99008812
Second,Adult,Male,No,451,Queenstown,27.84943073
Second,Adult,Male,No,452,Queenstown,26.53175537
Second,Adult,Male,No,453,Queenstown,44.67538848
Second,Adult,Male,No,454,Southhampton,48.38008382
Second,Adult,Male,No,455,Southhampton,64.0929857
Second,Adult,Male,No,456,Southhampton,40.67195517
Second,Adult,Male,No,457,Southhampton,40.3399585
Second,Adult,Male,No,458,Southhampton,59.70441498
Second,Adult,Male,No,459,Queenstown,24.32575786
Second,Adult,Male,No,460,Southhampton,54.50268983
Second,Adult,Male,No,461,Southhampton,47.32168667
Second,Adult,Male,No,462,Southhampton,45.48607116
Second,Adult,Male,No,463,Southhampton,34.76729668
Second,Adult,Male,No,464,Queenstown,28.30642763
Second,Adult,Male,No,465,Queenstown,29.38627645
Second,Adult,Male,No,466,Cherbourg,90.96238294
Second,Adult,Male,No,467,Southhampton,60.44095188
Second,Adult,Male,No,468,Cherbourg,80.59804256
Second,Adult,Male,No,469,Southhampton,41.62845148
Second,Adult,Male,No,470,Queenstown,25.72802069
Second,Adult,Male,No,471,Belfast,69.33205864
Second,Adult,Male,No,472,Cherbourg,86.79452482
Second,Adult,Male,No,473,Southhampton,57.69640794
Second,Adult,Male,No,474,Cherbourg,71.20552103
Second,Adult,Male,No,475,Queenstown,30.35796151
Second,Adult,Male,No,476,Queenstown,29.34017588
Second,Adult,Male,No,477,Southhampton,58.93477421
Second,Adult,Male,No,478,Cherbourg,90.65811538
Second,Adult,Male,No,479,Southhampton,41.03071015
Second,Adult,Male,No,480,Southhampton,46.79274404
Second,Adult,Male,No,481,Southhampton,53.7358351
Second,Adult,Male,No,482,Southhampton,61.78775071
Second,Adult,Male,No,483,Southhampton,54.68163807
Second,Adult,Male,No,484,Cherbourg,83.53789116
Second,Adult,Male,No,485,Queenstown,29.82830097
Second,Adult,Male,No,486,Southhampton,52.10433847
Second,Adult,Male,No,487,Southhampton,43.49712726
Second,Adult,Male,No,488,Southhampton,51.3638434
Second,Adult,Male,No,489,Queenstown,26.14847236
Second,Adult,Male,No,490,Southhampton,45.79088666
Second,Adult,Male,No,491,Cherbourg,87.51332829
Second,Adult,Male,No,492,Cherbourg,86.48119602
Second,Adult,Female,Yes,493,Southhampton,55.96527495
Second,Adult,Female,Yes,494,Belfast,66.65213885
Second,Adult,Female,Yes,495,Cherbourg,67.86556229
Second,Adult,Female,Yes,496,Cherbourg,75.3254756
Second,Adult,Female,Yes,497,Cherbourg,74.89775738
Second,Adult,Female,Yes,498,Belfast,92.96276791
Second,Adult,Female,Yes,499,Southhampton,53.4450998
Second,Adult,Female,Yes,500,Belfast,67.13611907
Second,Adult,Female,Yes,501,Belfast,83.35822101
Second,Adult,Female,Yes,502,Belfast,88.90760538
Second,Adult,Female,Yes,503,Belfast,72.92086617
Second,Adult,Female,Yes,504,Cherbourg,77.06193701
Second,Adult,Female,Yes,505,Cherbourg,61.49713125
Second,Adult,Female,Yes,506,Southhampton,63.63379202
Second,Adult,Female,Yes,507,Southhampton,40.23290757
Second,Adult,Female,Yes,508,Belfast,82.05369746
Second,Adult,Female,Yes,509,Cherbourg,100.8953774
Second,Adult,Female,Yes,510,Cherbourg,94.75891578
Second,Adult,Female,Yes,511,Southhampton,60.09878538
Second,Adult,Female,Yes,512,Cherbourg,78.81228837
Second,Adult,Female,Yes,513,Belfast,81.95891899
Second,Adult,Female,Yes,514,Belfast,79.50115658
Second,Adult,Female,Yes,515,Cherbourg,92.34047433
Second,Adult,Female,Yes,516,Cherbourg,86.63839096
Second,Adult,Female,Yes,517,Southhampton,52.70347192
Second,Adult,Female,Yes,518,Belfast,86.68761279
Second,Adult,Female,Yes,519,Southhampton,50.73068209
Second,Adult,Female,Yes,520,Southhampton,57.82533505
Second,Adult,Female,Yes,521,Cherbourg,79.07560469
Second,Adult,Female,Yes,522,Cherbourg,86.95767539
Second,Adult,Female,Yes,523,Belfast,91.76108344
Second,Adult,Female,Yes,524,Southhampton,49.42175463
Second,Adult,Female,Yes,525,Cherbourg,85.89979645
Second,Adult,Female,Yes,526,Cherbourg,86.97542637
Second,Adult,Female,Yes,527,Cherbourg,60.82012284
Second,Adult,Female,Yes,528,Belfast,67.13333894
Second,Adult,Female,Yes,529,Cherbourg,69.15901268
Second,Adult,Female,Yes,530,Cherbourg,69.18734315
