Name,MPG,Cylinders,Displacement,Origin
volkswagen super beetle,26,4,97,Europe
chevrolet impala,11,8,400,US
ford country,12,8,400,US
plymouth custom suburb,13,8,360,US
oldsmobile vista cruiser,12,8,350,US
amc gremlin,18,6,232,US
toyota cari0,20,4,97,Asia
chevrolet vega,21,4,140,US
datsun 610,22,4,108,Asia
maxda rx3,18,3,70,Asia
ford pinto,19,4,122,US
mercury capri v6,21,6,155,US
fiat 124 sport coupe,26,4,98,Europe
chevrolet monte carlo s,15,8,350,US
pontiac grand prix,16,8,400,US
fiat 128,29,4,68,Europe
opel manta,24,4,116,Europe
audi 100ls,20,4,114,Europe
volvo 144ea,19,4,121,Europe
dodge dart custom,15,8,318,US
saab 99le,24,4,121,Europe
toyota mark ii,20,6,156,Asia
oldsmobile omega,11,8,350,US
plymouth duster,20,6,198,US
ford maverick,21,6,200,US
amc hornet,19,6,232,US
chevrolet nova,15,6,250,US
datsun b210,31,4,79,Asia
ford pinto,26,4,122,US
toyota corolla 1200,32,4,71,Asia
chevrolet vega,25,4,140,US
chevrolet chevelle malibu classic,16,6,250,US
amc matador,16,6,258,US
plymouth satellite sebring,18,6,225,US
ford gran torino,16,8,302,US
buick century luxus (sw),13,8,350,US
dodge coronet custom (sw),14,8,318,US
ford gran torino (sw),14,8,302,US
amc matador (sw),14,8,304,US
audi fox,29,4,98,Europe
volkswagen dasher,26,4,79,Europe
opel manta,26,4,97,Europe
toyota coro0,31,4,76,Asia
datsun 710,32,4,83,Asia
dodge colt,28,4,90,US
fiat 128,24,4,90,Europe
fiat 124 tc,26,4,116,Europe
honda civic,24,4,120,Asia
subaru,26,4,108,Asia
fiat x1.9,31,4,79,Europe
plymouth valiant custom,19,6,225,US
chevrolet nova,18,6,250,US
mercury mo0rch,15,6,250,US
ford maverick,15,6,250,US
pontiac catali0,16,8,400,US
chevrolet bel air,15,8,350,US
plymouth grand fury,16,8,318,US
ford ltd,14,8,351,US
buick century,17,6,231,US
chevroelt chevelle malibu,16,6,250,US
amc matador,15,6,258,US
plymouth fury,18,6,225,US
buick skyhawk,21,6,231,US
chevrolet monza 2+2,20,8,262,US
ford mustang ii,13,8,302,US
toyota corolla,29,4,97,Asia
ford pinto,23,4,140,US
amc gremlin,20,6,232,US
pontiac astro,23,4,140,US
toyota coro0,24,4,134,Asia
volkswagen dasher,25,4,90,Europe
datsun 710,24,4,119,Asia
ford pinto,18,6,171,US
volkswagen rabbit,29,4,90,Europe
amc pacer,19,6,232,US
audi 100ls,23,4,115,Europe
peugeot 504,23,4,120,Europe
volvo 244dl,22,4,121,Europe
saab 99le,25,4,121,Europe
honda civic cvcc,33,4,91,Asia
fiat 131,28,4,107,Europe
opel 1900,25,4,116,Europe
capri ii,25,4,140,US
dodge colt,26,4,98,US
re0ult 12tl,27,4,101,Europe
chevrolet chevelle malibu classic,17.5,8,305,US
dodge coronet brougham,16,8,318,US
amc matador,15.5,8,304,US
ford gran torino,14.5,8,351,US
plymouth valiant,22,6,225,US
chevrolet nova,22,6,250,US
ford maverick,24,6,200,US
amc hornet,22.5,6,232,US
chevrolet chevette,29,4,85,US
chevrolet woody,24.5,4,98,US
vw rabbit,29,4,90,Europe
honda civic,33,4,91,Asia
dodge aspen se,20,6,225,US
ford gra0da ghia,18,6,250,US
pontiac ventura sj,18.5,6,250,US
amc pacer d/l,17.5,6,258,US
volkswagen rabbit,29.5,4,97,Europe
datsun b-210,32,4,85,Asia
toyota corolla,28,4,97,Asia
ford pinto,26.5,4,140,US
volvo 245,20,4,130,Europe
plymouth volare premier v8,13,8,318,US
peugeot 504,19,4,120,Europe
toyota mark ii,19,6,156,Asia
mercedes-benz 280s,16.5,6,168,Europe
cadillac seville,16.5,8,350,US
chevy c10,13,8,350,US
ford f108,13,8,302,US
dodge d100,13,8,318,US
honda accord cvcc,31.5,4,98,Asia
buick opel isuzu deluxe,30,4,111,US
re0ult 5 gtl,36,4,79,Europe
plymouth arrow gs,25.5,4,122,US
datsun f-10 hatchback,33.5,4,85,Asia
chevrolet caprice classic,17.5,8,305,US
oldsmobile cutlass supreme,17,8,260,US
dodge mo0co brougham,15.5,8,318,US
mercury cougar brougham,15,8,302,US
chevrolet concours,17.5,6,250,US
buick skylark,20.5,6,231,US
plymouth volare custom,19,6,225,US
ford gra0da,18.5,6,250,US
pontiac grand prix lj,16,8,400,US
chevrolet monte carlo landau,15.5,8,350,US
chrysler cordoba,15.5,8,400,US
ford thunderbird,16,8,351,US
volkswagen rabbit custom,29,4,97,Europe
pontiac sunbird coupe,24.5,4,151,US
toyota corolla liftback,26,4,97,Asia
ford mustang ii 2+2,25.5,4,140,US
chevrolet chevette,30.5,4,98,US
dodge colt m/m,33.5,4,98,US
subaru dl,30,4,97,Asia
volkswagen dasher,30.5,4,97,Europe
datsun 810,22,6,146,Asia
bmw 320i,21.5,4,121,Europe
mazda rx-4,21.5,3,80,Asia
volkswagen rabbit custom diesel,43.1,4,90,Europe
ford fiesta,36.1,4,98,US
mazda glc deluxe,32.8,4,78,Asia
datsun b210 gx,39.4,4,85,Asia
honda civic cvcc,36.1,4,91,Asia
oldsmobile cutlass salon brougham,19.9,8,260,US
dodge diplomat,19.4,8,318,US
mercury mo0rch ghia,20.2,8,302,US
pontiac phoenix lj,19.2,6,231,US
chevrolet malibu,20.5,6,200,US
ford fairmont (auto),20.2,6,200,US
ford fairmont (man),25.1,4,140,US
plymouth volare,20.5,6,225,US
amc concord,19.4,6,232,US
buick century special,20.6,6,231,US
mercury zephyr,20.8,6,200,US
dodge aspen,18.6,6,225,US
amc concord d/l,18.1,6,258,US
chevrolet monte carlo landau,19.2,8,305,US
buick regal sport coupe (turbo),17.7,6,231,US
ford futura,18.1,8,302,US
dodge magnum xe,17.5,8,318,US
chevrolet chevette,30,4,98,US
toyota coro0,27.5,4,134,Asia
datsun 510,27.2,4,119,Asia
dodge omni,30.9,4,105,US
toyota celica gt liftback,21.1,4,134,Asia
plymouth sapporo,23.2,4,156,US
oldsmobile starfire sx,23.8,4,151,US
datsun 200-sx,23.9,4,119,Asia
audi 5000,20.3,5,131,Europe
volvo 264gl,17,6,163,Europe
saab 99gle,21.6,4,121,Europe
peugeot 604sl,16.2,6,163,Europe
volkswagen scirocco,31.5,4,89,Europe
honda accord lx,29.5,4,98,Asia
pontiac lemans v6,21.5,6,231,US
mercury zephyr 6,19.8,6,200,US
ford fairmont 4,22.3,4,140,US
amc concord dl 6,20.2,6,232,US
dodge aspen 6,20.6,6,225,US
chevrolet caprice classic,17,8,305,US
ford ltd landau,17.6,8,302,US
mercury grand marquis,16.5,8,351,US
dodge st. regis,18.2,8,318,US
buick estate wagon (sw),16.9,8,350,US
ford country squire (sw),15.5,8,351,US
chevrolet malibu classic (sw),19.2,8,267,US
chrysler lebaron town @ country (sw),18.5,8,360,US
vw rabbit custom,31.9,4,89,Europe
maxda glc deluxe,34.1,4,86,Asia
dodge colt hatchback custom,35.7,4,98,US
amc spirit dl,27.4,4,121,US
mercedes benz 300d,25.4,5,183,Europe
cadillac eldorado,23,8,350,US
peugeot 504,27.2,4,141,Europe
oldsmobile cutlass salon brougham,23.9,8,260,US
plymouth horizon,34.2,4,105,US
plymouth horizon tc3,34.5,4,105,US
datsun 210,31.8,4,85,Asia
fiat strada custom,37.3,4,91,Europe
buick skylark limited,28.4,4,151,US
chevrolet citation,28.8,6,173,US
oldsmobile omega brougham,26.8,6,173,US
pontiac phoenix,33.5,4,151,US
vw rabbit,41.5,4,98,Europe
toyota corolla tercel,38.1,4,89,Asia
chevrolet chevette,32.1,4,98,US
datsun 310,37.2,4,86,Asia
chevrolet citation,28,4,151,US
ford fairmont,26.4,4,140,US
amc concord,24.3,4,151,US
dodge aspen,19.1,6,225,US
audi 4000,34.3,4,97,Europe
toyota coro0 liftback,29.8,4,134,Asia
mazda 626,31.3,4,120,Asia
datsun 510 hatchback,37,4,119,Asia
toyota corolla,32.2,4,108,Asia
mazda glc,46.6,4,86,Asia
dodge colt,27.9,4,156,US
datsun 210,40.8,4,85,Asia
vw rabbit c (diesel),44.3,4,90,Europe
vw dasher (diesel),43.4,4,90,Europe
audi 5000s (diesel),36.4,5,121,Europe
mercedes-benz 240d,30,4,146,Europe
honda civic 1500 gl,44.6,4,91,Asia
re0ult lecar deluxe,40.9,4,85,Europe
subaru dl,33.8,4,97,Asia
vokswagen rabbit,29.8,4,89,Europe
datsun 280-zx,32.7,6,168,Asia
mazda rx-7 gs,23.7,3,70,Asia
triumph tr7 coupe,35,4,122,Europe
ford mustang cobra,23.6,4,140,US
honda accord,32.4,4,107,Asia
plymouth reliant,27.2,4,135,US
buick skylark,26.6,4,151,US
dodge aries wagon (sw),25.8,4,156,US
chevrolet citation,23.5,6,173,US
plymouth reliant,30,4,135,US
toyota starlet,39.1,4,79,Asia
plymouth champ,39,4,86,US
honda civic 1300,35.1,4,81,Asia
subaru,32.3,4,97,Asia
datsun 210 mpg,37,4,85,Asia
toyota tercel,37.7,4,89,Asia
mazda glc 4,34.1,4,91,Asia
plymouth horizon 4,34.7,4,105,US
ford escort 4w,34.4,4,98,US
ford escort 2h,29.9,4,98,US
volkswagen jetta,33,4,105,Europe
re0ult 18i,34.5,4,100,Europe
honda prelude,33.7,4,107,Asia
toyota corolla,32.4,4,108,Asia
datsun 200sx,32.9,4,119,Asia
mazda 626,31.6,4,120,Asia
peugeot 505s turbo diesel,28.1,4,141,Europe
saab 900s,23,4,121,Europe
volvo diesel,30.7,6,145,Europe
toyota cressida,25.4,6,168,Asia
datsun 810 maxima,24.2,6,146,Asia
buick century,22.4,6,231,US
oldsmobile cutlass ls,26.6,8,350,US
ford gra0da gl,20.2,6,200,US
chrysler lebaron salon,17.6,6,225,US
chevrolet cavalier,28,4,112,US
chevrolet cavalier wagon,27,4,112,US
chevrolet cavalier 2-door,34,4,112,US
pontiac j2000 se hatchback,31,4,112,US
dodge aries se,29,4,135,US
pontiac phoenix,27,4,151,US
ford fairmont futura,24,4,140,US
amc concord dl,23,4,151,US
volkswagen rabbit l,36,4,105,Europe
mazda glc custom l,37,4,91,Asia
mazda glc custom,31,4,91,Asia
plymouth horizon miser,38,4,105,US
mercury lynx l,36,4,98,US
nissan stanza xe,36,4,120,Asia
honda accord,36,4,107,Asia
toyota corolla,34,4,108,Asia
honda civic,38,4,91,Asia
honda civic (auto),32,4,91,Asia
datsun 310 gx,38,4,91,Asia
buick century limited,25,6,181,US
oldsmobile cutlass ciera (diesel),38,6,262,US
chrysler lebaron medallion,26,4,156,US
ford gra0da l,22,6,232,US
toyota celica gt,32,4,144,Asia
dodge charger 2.2,36,4,135,US
chevrolet camaro,27,4,151,US
ford mustang gl,27,4,140,US
vw pickup,44,4,97,Europe
dodge rampage,32,4,135,US
ford ranger,28,4,120,US
chevy s-10,31,4,119,US
